#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
     323	THA   	HIP 1993                   	M0Ve         	00 25 14.85	-61 30 49.1	  88.00	 0.20	 -56.30	 0.20	  6.40	 0.10	 44.50	 0.50	           	 30	  5	 30       	  5	J00251465-6130483	J002514.78-613048.8	4902014090966232576	                                          	HIP 1993
     324	THA   	CD-34 521                  	K7Ve         	01 22 04.57	-33 37 04.4	 110.10	 0.50	 -57.30	 0.50	  4.70	 0.40	 38.50	 0.40	           	 14	  5	 14       	  5	J01220441-3337036	J012204.52-333704.2	5015973248505310208	                                          	CD-34 521
     325	THA   	2MASS J01231125-6921379    	M8           	01 23 11.54	-69 21 38.4	  83.00	 2.00	 -26.00	 1.00	 11.00	 3.00	 46.00	 7.00	           	118	  8	  3       	  8	J01231125-6921379	J012311.45-692138.2	4691426896646772224	2MUCD 13056                               	2MASS J01231125-6921379
     326	THA   	HIP 6485                   	G6V          	01 23 21.43	-57 28 51.2	  92.88	 0.07	 -36.16	 0.06	  9.20	 0.40	 45.10	 0.50	           	 11	  5	 30       	  5	J01232126-5728507	J012321.37-572851.0	4909846496406798976	                                          	HIP 6485
     327	THA   	HIP 6856                   	K1V          	01 28 08.84	-52 38 19.8	 106.32	 0.08	 -43.09	 0.09	  8.00	 0.20	 39.50	 0.40	           	 30	  5	 30       	  5	J01280868-5238191	J012808.80-523819.6	4916062035639629184	                                          	HIP 6856
     328	THA   	HIP 9141 AB                	G3V          	01 57 49.09	-21 54 06.1	 103.69	 0.06	 -50.33	 0.05	  8.00	 1.00	 40.80	 0.40	           	 11	  5	 51       	  5	J01574896-2154052	J015749.05-215405.8	5135093341825812480	                                          	2MASS J01574896-2154052
     329	THA   	HIP 9892 AB                	G7V          	02 07 18.20	-53 11 56.9	  86.54	 0.04	 -22.79	 0.05	 10.00	 0.50	 49.40	 0.90	           	 30	  5	 30       	  5	J02071805-5311565	J020718.16-531156.7	4743944038749857920	                                          	2MASS J02071805-5311565
     330	THA   	HIP 9902                   	F8V          	02 07 26.31	-59 40 46.2	  92.71	 0.05	 -18.33	 0.06	 11.10	 0.70	 45.70	 0.50	           	 30	  5	 30       	  5	J02072611-5940459	J020726.24-594046.2	4714764477617543040	                                          	HIP 9902
     331	THA   	HD 14228 A                 	B8IV         	02 16 30.59	-51 30 43.8	  91.00	 0.10	 -22.20	 0.10	 10.00	 2.00	 47.10	 0.30	           	 11	 16	 80       	 16	J02163059-5130437	J021630.68-513044.3	                   	phi Eri A; HIP 10602 A                    	2MASS J02163059-5130437
     332	THA   	HD 14228 B                 	G2           	02 16 30.59	-51 30 43.8	       	     	       	     	      	     	      	     	[COMPANION]	119	   	          	   	                 	                   	                   	phi Eri B; HIP 10602 B                    	HD 14228
     333	THA   	2MASS J02235464-5815067    	L0{gamma}    	02 23 54.85	-58 15 06.9	 113.00	 4.00	 -17.00	 7.00	 10.40	 0.20	 37.00	 4.00	           	   	120	  8       	  8	J02235464-5815067	J022354.79-581506.9	4738287468036620160	                                          	2MASS J02235464-5815067
     334	THA   	HIP 12394                  	B9V          	02 39 35.60	-68 16 01.0	  87.42	 0.04	   0.09	 0.04	 13.60	 0.90	 46.00	 2.00	           	 11	  5	 20       	  5	J02393538-6816008	J023935.51-681600.9	4695167125961452288	                                          	HIP 12394
     335	THA   	CD-53 544                  	K6Ve         	02 41 47.00	-52 59 52.6	  97.80	 0.40	 -15.40	 0.70	 13.00	 2.00	 43.30	 0.70	           	 14	  5	 30       	  5	J02414683-5259523	J024146.94-525952.4	4742040406165460864	                                          	CD-53 544
     336	THA   	CD-58 553                  	K5Ve         	02 42 33.18	-57 39 37.0	  84.90	 0.80	  -9.20	 0.80	 12.40	 0.10	 48.50	 0.80	           	 14	  5	 30       	  5	J02423301-5739367	J024233.13-573936.9	4726518497436239232	                                          	CD-58 553
     337	THA   	HD 17250                   	F8           	02 46 14.68	+05 35 32.7	  75.04	 0.09	 -44.49	 0.07	  4.00	 1.00	 55.60	 0.80	           	 25	  5	 25       	  5	J02461462+0535333	J024614.64+053532.7	   6478253791395968	HIP 12925                                 	HD 17250
     338	THA   	HD 20121 A                 	A0V          	03 12 25.75	-44 25 10.8	  81.60	 0.60	  -5.00	 1.00	 14.00	 2.00	 43.00	 1.00	           	 11	 16	 25       	 16	J03122575-4425111	J031225.82-442512.0	                   	HIP 14913 A                               	HD 20121 A
     339	THA   	HD 20121 B                 	F7III        	03 12 25.75	-44 25 11.5	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	                 	                   	                   	HIP 14913 B                               	HD 20121 B
     340	THA   	HD 20121 C                 	F5V          	03 12 25.82	-44 25 14.8	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	                 	                   	4850406038816282112	HIP 14913 C                               	HD 20121 C
     341	THA   	HIP 15247                  	F6V          	03 16 40.75	-03 31 49.7	  79.25	 0.04	 -47.26	 0.03	  9.10	 0.80	 48.10	 0.80	           	 12	  5	 12       	  5	J03164066-0331489	J031640.72-033149.3	3261733198354195840	                                          	HIP 15247
     342	THA   	CD-35 1167                 	K7Ve         	03 19 08.77	-35 07 00.6	  88.70	 0.50	 -20.00	 1.00	 13.50	 0.20	 45.30	 0.70	           	 14	  5	 30       	  5	J03190864-3507002	J031908.74-350700.5	5047124989900631808	                                          	CD-35 1167
     343	THA   	CD-44 1173                 	K6Ve         	03 31 55.76	-43 59 13.6	  88.70	 0.60	  -4.00	 1.00	 15.50	 0.30	 45.20	 0.60	           	 14	  5	 30       	  5	J03315564-4359135	J033155.73-435913.5	4848412521155008640	                                          	CD-44 1173
     344	THA   	HIP 16853 AB               	G2V          	03 36 53.54	-49 57 28.8	  89.19	 0.04	   0.83	 0.05	 14.40	 0.90	 38.90	 0.90	           	  7	  5	 75       	  5	J03365341-4957288	J033653.51-495728.9	4832672015771008128	                                          	2MASS J03365341-4957288
     345	THA   	HD 24636                   	F3           	03 48 11.71	-74 41 38.5	  63.50	 0.03	  24.55	 0.03	 16.00	 1.00	 56.60	 0.90	           	 25	  5	 25       	  5	J03481148-7441388	J034811.63-744138.5	4629074451223637632	HIP 17764                                 	HD 24636
     346	THA   	HIP 17797                  	A1V          	03 48 35.87	-37 37 12.6	  74.40	 0.70	  -9.10	 0.90	 15.60	 0.40	 51.00	 2.00	           	 11	 16	 25       	 16	J03483587-3737126	J034835.90-373713.9	                   	                                          	HIP 17797
     347	THA   	HD 24071                   	A1           	03 48 35.48	-37 37 19.2	  70.00	 2.00	 -11.00	 2.00	      	     	      	     	[COMPANION]	 25	 29	          	   	J03483548-3737190	J034835.04-373736.8	                   	HIP 17797 B                               	HD 24071
     348	THA   	HIP 18714 AB               	G3V          	04 00 32.08	-41 44 54.4	  68.23	 0.06	  -2.03	 0.07	 16.30	 0.70	 55.20	 0.70	           	121	  5	 60       	  5	J04003198-4144544	J040032.04-414454.3	4842275837523173376	                                          	2MASS J04003198-4144544
     349	THA   	BD-15 705                  	K3.4         	04 02 16.55	-15 21 30.2	  66.00	 1.00	 -27.00	 1.00	 14.30	 0.40	 54.30	 0.70	           	122	  5	122       	  5	J04021648-1521297	J040216.53-152130.1	5109911776771123200	                                          	BD-15 705
     350	THA   	HIP 21632                  	G3V          	04 38 44.01	-27 02 02.0	  56.30	 0.07	 -10.90	 0.10	 19.00	 5.00	 54.20	 0.60	           	 30	  5	 30       	  5	J04384393-2702018	J043843.98-270201.8	4891725754507903872	                                          	HIP 21632
     351	THA   	HIP 21965                  	F2V          	04 43 17.26	-23 37 42.2	  50.30	 0.70	 -11.80	 0.80	 19.00	 3.00	 64.00	 4.00	           	 11	 16	 51       	 16	J04431720-2337419	J044317.23-233742.0	4895013362993211776	                                          	HIP 21965
     352	THA   	2MASS J04480066-5041255    	K7Ve         	04 48 00.76	-50 41 25.4	  57.00	 2.00	  17.00	 2.00	 19.30	 0.10	 58.00	 2.00	           	 14	  5	 14       	  5	J04480066-5041255	J044800.71-504125.1	4784584668571800960	TYC 8083-45-5                             	2MASS J04480066-5041255
     353	THA   	HIP 22295                  	F7V          	04 48 05.47	-80 46 44.7	  47.87	 0.05	  40.30	 0.04	 12.00	 2.00	 62.00	 1.00	           	  7	  5	 75       	  5	J04480518-8046452	J044805.37-804644.8	4622453089122285312	                                          	HIP 22295
     354	THA   	2MASS J05332558-5117131    	K7V          	05 33 25.64	-51 17 12.8	  42.20	 0.80	  27.00	 1.00	 19.60	 0.40	 55.20	 0.90	           	 14	  5	 14       	  5	J05332558-5117131	J053325.62-511712.9	4793327229122166784	TYC 8098-414-1                            	2MASS J05332558-5117131
     355	THA   	HIP 32435                  	F5V          	06 46 13.71	-83 59 28.6	  19.70	 0.40	  61.60	 0.50	 12.50	 0.70	 56.00	 1.00	           	  7	 16	 75       	 16	J06461348-8359294	J064613.60-835928.7	5194203331748665728	                                          	HIP 32435
     356	THA   	HIP 105388                 	G7V          	21 20 50.01	-53 02 04.6	  31.40	 0.09	 -95.63	 0.07	 -0.90	 0.70	 47.60	 0.50	           	 30	  5	 30       	  5	J21204994-5302030	J212049.99-530204.2	6463782431652157184	                                          	HIP 105388
     357	THA   	HIP 107345                 	M1           	21 44 30.21	-60 58 40.3	  41.50	 0.10	 -93.50	 0.10	  2.30	 0.50	 46.50	 0.60	           	117	  5	 30       	  5	J21443012-6058389	J214430.18-605839.8	6409848122134268160	                                          	HIP 107345
     358	THA   	HIP 107947                 	F6V          	21 52 09.82	-62 03 09.9	  44.03	 0.02	 -91.24	 0.03	  1.50	 0.60	 47.00	 1.00	           	  7	  5	 20       	  5	J21520973-6203085	J215209.78-620309.6	6408937967024365440	                                          	HIP 107947
     359	THA   	HIP 108195 A               	F3           	21 55 11.40	-61 53 12.0	  44.50	 0.20	 -91.10	 0.30	  1.00	 3.00	 46.50	 0.90	           	 11	 16	  7       	 16	J21551140-6153119	J215511.44-615312.9	                   	                                          	2MASS J21551140-6153119
     360	THA   	HIP 108195 B               	F3           	21 55 11.40	-61 53 12.0	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	                 	                   	                   	                                          	WDS J21552-6153AB
     361	THA   	HIP 108195 C               	M6.5?        	           	           	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	                 	                   	                   	                                          	HD 207964C
     362	THA   	2MASS J23261069-7323498    	M0V          	23 26 10.95	-73 23 50.8	  73.00	 2.00	 -68.00	 2.00	  8.00	 2.00	 46.40	 0.90	           	 14	  5	 14       	  5	J23261069-7323498	J232610.86-732350.6	6380514354495902592	TYC 9344-29-3                             	2MASS J23261069-7323498
     363	THA   	HIP 116748 A               	G5V          	23 39 39.70	-69 11 45.7	  79.53	 0.06	 -67.68	 0.06	  6.10	 0.10	 44.00	 0.50	           	 11	  5	 30       	 30	J23393949-6911448	J233939.64-691145.2	6387058407186674560	                                          	2MASS J23393949-6911448
     364	THA   	HIP 116748 B               	K3Ve         	23 39 39.49	-69 11 40.5	       	     	       	     	      	     	      	     	[COMPANION]	 30	   	          	   	J23393929-6911396	J233939.43-691140.0	6387058407187695616	                                          	2MASS J23393929-6911396
     365	COL   	HD 984                     	F5V          	00 14 10.36	-07 11 57.8	 103.31	 0.04	 -66.09	 0.03	 -2.00	 1.00	 47.00	 1.00	           	 25	  5	 25       	  5	J00141025-0711569	J001410.33-071157.5	2431157716685689728	HIP 1134                                  	HD 984
     366	COL   	HIP 16449                  	A3V          	03 31 53.71	-25 36 51.2	  54.01	 0.02	 -15.04	 0.03	 17.30	 0.90	 68.00	 2.00	           	 11	  5	 20       	  5	J03315364-2536509	J033153.68-253651.1	5084963308180605952	                                          	HIP 16449
     367	COL   	HIP 17248                  	M0V          	03 41 37.45	+55 13 05.1	  96.70	 0.20	-116.60	 0.10	 -3.20	 0.60	 36.20	 0.40	           	 10	  5	 25       	  5	J03413724+5513068	J034137.38+551305.6	 445204043477431936	                                          	HIP 17248
     368	COL   	HIP 19775                  	G3V          	04 14 22.62	-38 19 01.5	  40.10	 0.10	   2.30	 0.10	 20.80	 0.30	 79.00	 1.00	           	 11	  5	 30       	  5	J04142257-3819016	J041422.60-381901.5	4844618209607056512	                                          	HIP 19775
     369	COL   	HIP 22226                  	F3V          	04 46 49.57	-26 18 08.9	  33.80	 0.03	  -5.03	 0.05	 21.00	 3.00	 80.00	 2.00	           	 11	  5	123       	  5	J04464950-2618087	J044649.55-261808.8	4881312589117657600	                                          	HIP 22226
     370	COL   	ome Auriga A               	A1V          	04 59 15.43	+37 53 25.1	  46.40	 0.60	 -97.80	 0.40	  8.00	 3.00	 52.00	 2.00	           	 25	 16	 25       	 16	J04591543+3753251	J045915.46+375325.7	 198776549660887168	HD 31647; HIP 23179                       	ome Auriga A
     371	COL   	ome Auriga B               	A1V          	04 59 15.43	+37 53 25.1	       	     	       	     	      	     	      	     	[COMPANION]	 25	   	          	   	J04591545+3753299	                   	                   	                                          	ome Auriga B
     372	COL   	HIP 23316                  	G5V          	05 00 51.91	-41 01 06.6	  31.60	 0.10	  10.30	 0.20	 24.00	 5.00	 77.00	 1.00	           	 11	  5	 30       	  5	J05005186-4101065	J050051.89-410106.5	4813691215261332608	                                          	HIP 23316
     373	COL   	HR 1621                    	B9           	05 01 25.58	-20 03 06.9	  36.40	 0.20	 -16.50	 0.20	 24.00	 3.00	 60.70	 0.90	           	 25	 16	 25       	 16	J05012558-2003067	J050125.60-200307.0	                   	HD 32309; HIP 23362                       	HR 1621
     374	COL   	2MASS J05184616-2756457    	L1{gamma}    	05 18 46.20	-27 56 45.8	  33.00	 2.00	  -7.00	 2.00	 24.40	 0.20	 54.00	 3.00	           	   	  2	  8       	  2	J05184616-2756457	J051846.18-275645.7	2955015805492793088	                                          	2MASS J05184616-2756457
     375	COL   	HIP 25709 AB               	G3V          	05 29 24.13	-34 30 55.4	  24.56	 0.05	   5.63	 0.06	 24.00	 5.00	 71.00	 1.00	           	 11	  5	 20       	  5	J05292409-3430554	J052924.12-343055.4	4822948347252262144	                                          	2MASS J05292409-3430554
     376	COL   	AH Lep                     	G3           	05 34 09.19	-15 17 03.5	  24.20	 0.60	 -22.70	 0.60	 23.00	 1.00	 57.00	 0.70	           	 25	  5	 25       	  5	J05340914-1517031	J053409.17-151703.2	2972231718042118528	HD 36869                                  	AH Lep
     377	COL   	HD 37286                   	A2III-IV     	05 36 10.32	-28 42 28.9	  25.32	 0.02	  -3.06	 0.03	 22.00	 1.00	 57.00	 1.00	           	124	  5	 20       	  5	J05361029-2842289	J053610.30-284228.7	2907397743599450112	HIP 26309                                 	HD 37286
     378	COL   	HD 37484                   	F3           	05 37 39.65	-28 37 34.7	  24.20	 0.04	  -3.12	 0.06	 23.50	 0.40	 58.30	 0.80	           	 25	  5	 25       	  5	J05373962-2837346	J053739.64-283734.7	2907308167761659392	HIP 26453                                 	HD 37484
     379	COL   	HIP 26966                  	A0V          	05 43 21.69	-18 33 27.1	  19.43	 0.03	 -13.38	 0.04	 25.30	 0.50	 70.00	 5.00	           	 11	  5	 20       	  5	J05432166-1833268	J054321.69-183327.0	2967287592208306176	                                          	HIP 26966
     380	COL   	HD 38397                   	G0           	05 43 35.84	-39 55 24.5	  25.48	 0.05	  14.22	 0.07	 22.80	 0.60	 53.70	 0.70	           	 25	  5	 25       	  5	J05433580-3955246	J054335.83-395524.6	4808165825733273600	HIP 26990                                 	HD 38397
     381	COL   	HIP 28036                  	F7V          	05 55 43.19	-38 06 16.1	  21.07	 0.04	  10.14	 0.04	 24.10	 0.50	 52.00	 0.70	           	 11	  5	 20       	  5	J05554314-3806162	J055543.16-380616.1	2883892177862480128	                                          	HIP 28036
     382	COL   	HD 41071                   	G8           	06 00 41.32	-44 53 49.8	  17.52	 0.07	  23.09	 0.08	 23.80	 0.40	 53.60	 0.60	           	 25	  5	 25       	  5	J06004130-4453500	J060041.31-445349.8	5570953460611853952	HIP 28474                                 	HD 41071
     383	COL   	HIP 30030                  	G0V          	06 19 08.07	-03 26 21.0	  10.73	 0.07	 -42.05	 0.05	 19.00	 2.00	 51.20	 0.80	           	 11	  5	 36       	  5	J06190805-0326203	J061908.06-032620.8	3116883777034077056	                                          	HIP 30030
     384	COL   	HD 48097                   	A2           	06 42 24.33	+17 38 43.1	   7.90	 0.70	 -84.30	 0.50	 15.00	 4.00	 44.00	 1.00	           	 25	 16	 25       	 16	J06422431+1738430	J064224.34+173842.1	                   	HIP 32104                                 	HD 48097
     385	CAR   	AB Pic                     	K1V(e)       	06 19 12.94	-58 03 14.8	  14.10	 0.10	  45.00	 0.10	 22.60	 0.30	 50.20	 0.50	           	 11	  5	 30       	  5	J06191291-5803156	J061912.93-580314.9	5495052592399086720	HIP 30034 A                               	AB Pic
     386	CAR   	HIP 32235                  	G6V          	06 43 46.27	-71 58 34.5	   7.44	 0.08	  60.62	 0.08	 20.70	 0.10	 54.30	 0.70	           	 11	  5	 30       	  5	J06434625-7158356	J064346.25-715834.7	5265670758630806272	                                          	HIP 32235
     387	CAR   	HIP 33737                  	K2V          	07 00 30.50	-79 41 45.1	   2.00	 0.10	  60.20	 0.10	 17.60	 0.10	 63.40	 0.90	           	 11	  5	 30       	  5	J07003046-7941459	J070030.50-794145.3	5208216946747136256	                                          	HIP 33737
     388	CAR   	HIP 46063                  	K1Ve         	09 23 34.92	-61 11 35.6	 -27.30	 0.10	  17.30	 0.10	 20.80	 0.40	 97.00	 2.00	           	 11	  5	 30       	  5	J09233498-6111359	J092334.94-611135.6	5299141541841868544	                                          	HIP 46063
     389	CAR   	HIP 46720 A                	F0V          	09 31 24.76	-73 44 48.8	 -34.63	 0.04	  31.99	 0.04	 18.00	 5.00	 77.00	 2.00	           	 11	  5	 30       	 16	J09312500-7344496	J093124.92-734449.5	5217846847539783424	                                          	2MASS J09312500-7344496
     390	CAR   	HIP 46720 B                	F2V          	09 31 25.10	-73 44 50.2	 -35.40	 0.50	  32.40	 0.50	 18.00	 5.00	 84.00	 4.00	[COMPANION]	 11	 16	 30       	 16	                 	                   	5217846847544244480	                                          	WDS J09314-7345B
     391	CAR   	TWA 21                     	K3           	10 13 14.67	-52 30 53.9	 -62.00	 1.00	   9.70	 0.60	 17.50	 0.80	 52.40	 0.70	           	   	  5	 51       	  5	J10131476-5230540	J101314.69-523053.8	5356713413789909632	                                          	TWA 21
     392	TWA   	TWA 39 A                   	M4Ve         	10 12 09.04	-31 24 45.4	 -75.00	 1.00	  -9.00	 1.00	 14.60	 0.60	 54.00	 5.00	           	 48	 48	 14       	 48	J10120908-3124451	J101209.03-312445.4	5460240959047928704	                                          	2MASS J10120908-3124451
     393	TWA   	TWA 39 B                   	             	10 12 09.04	-31 24 45.4	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	                 	                   	                   	                                          	TWA 39 B
     394	TWA   	TWA 7                      	M4pec        	10 42 29.96	-33 40 16.5	-114.40	 0.80	 -19.10	 0.80	 11.90	 0.40	 35.00	 3.00	           	   	125	126       	125	J10423011-3340162	J104229.99-334016.3	5444751790853761024	                                          	TWA 7
     395	TWA   	TWA 1                      	M3epec       	11 01 51.82	-34 42 17.2	 -68.20	 0.10	 -13.90	 0.10	 12.40	 0.50	 60.00	 1.00	           	   	  5	126       	  5	J11015191-3442170	J110151.84-344217.1	5401795658263638912	                                          	TWA 1
     396	TWA   	TWA 28                     	M9{gamma}    	11 02 09.83	-34 30 35.5	 -65.00	 6.00	 -16.00	 6.00	  9.00	 3.00	 57.00	 2.00	[COMPANION]	   	127	127       	128	J11020983-3430355	J110209.77-343035.7	                   	                                          	TWA 28
